Scenario Nickname,Scenario,Bargraph Label,"Number of ATPs, nf, ATP","Number of NAD(P)H, nf, NADH","Number of Ferredoxin (Fd), nf, Fd","Energy Density of Fuel Molecule (J molecule-1), Efuel",Molecular Weight (g),Input Solar Power (W),Total Available Electrical Power (W),Stirring Power (W),CO2 Fixation Method,Electrode to Microbe Mediator,Bio-cell Anode Half-reaction Thermodynamic Potential (V vs. SHE),Bio-cell Anode Half-reaction Bias Voltage (V),Bio-cell Cathode Half-reaction Thermodynamic Potential (V vs. SHE),Bio-cell Cathode Half-reaction Bias Voltage (V vs. SHE),"Bio-cell Voltage (V), ΔV2","Membrane Potential (mV), ΔVmembrane","Acceptor Voltage (V vs. SHE), Vacceptor","Menaquinone Voltage (V. vs. SHE), VQ","Mtr Complex Voltage (V vs. SHE), VMtr",Scale for Dependent Variable,Scale for Independent Variable,"Scale Up Mode (Simple, Stirring with Fixed Density, None, Diffusion with Fixed Density)"
2-4-6-8-tetramethyldecane_CBB_EEU,2-4-6-8-tetramethyldecane_CBB_EEU,2-4-6-8-tetramethyldecane_CBB_EEU,68,45,0,1.558309532E-17,198.39,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
2-4dimethylhexane_CBB_H2,2-4dimethylhexane_CBB_H2,2-4dimethylhexane_CBB_H2,37,27,0,9.072567253E-18,114.23,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2-4dimethyloctane_CBB_H2,2-4dimethyloctane_CBB_H2,2-4dimethyloctane_CBB_H2,46,33,0,1.124274327E-17,142.28,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2-4dimethyldecane_CBB_H2,2-4dimethyldecane_CBB_H2,2-4dimethyldecane_CBB_H2,54,39,0,1.34129193E-17,170.33,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2-5dimethylheptane_CBB_H2,2-5dimethylheptane_CBB_H2,2-5dimethylheptane_CBB_H2,44,31,0,1.015765526E-17,128.26,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2-5dimethylnonane_CBB_H2,2-5dimethylnonane_CBB_H2,2-5dimethylnonane_CBB_H2,52,37,0,1.232783129E-17,156.31,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
3-5dimethyloctane_CBB_H2,3-5dimethyloctane_CBB_H2,3-5dimethyloctane_CBB_H2,52,33,0,1.124274327E-17,142.28,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
3-5dimethyldecane_CBB_H2,3-5dimethyldecane_CBB_H2,3-5dimethyldecane_CBB_H2,60,39,0,1.34129193E-17,170.33,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
4-6dimethyldecane_CBB_H2,4-6dimethyldecane_CBB_H2,4-6dimethyldecane_CBB_H2,60,39,0,1.34129193E-17,170.33,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2-4-6trimethyloctane_CBB_H2,2-4-6trimethyloctane_CBB_H2,2-4-6trimethyloctane_CBB_H2,53,36,0,1.232783129E-17,156.31,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2-4-6-trimethyldecane_CBB_H2,2-4-6-trimethyldecane_CBB_H2,2-4-6-trimethyldecane_CBB_H2,61,42,0,1.449800731E-17,184.36,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2-4-6-8-tetramethyldecane_CBB_H2,2-4-6-8-tetramethyldecane_CBB_H2,2-4-6-8-tetramethyldecane_CBB_H2,68,45,0,1.558309532E-17,198.39,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
